,mu,omega
147,25.00276497616996,0.3045652216246825
148,25.00305869714258,0.2872752530233829
149,25.008463324929533,0.2864928644594661
150,25.008397021527824,0.29240427185773704
151,24.993862794745688,0.26391171816072173
152,25.00616777911137,0.2700624054550804
153,25.013006922734693,0.2732785403027003
154,25.00223822866059,0.29647084556001035
155,24.99813178982202,0.26726505517484594
156,25.013371731969745,0.29283227290552605
157,25.00577479846779,0.286871164961826
158,24.999057542509796,0.28761534068696865
159,24.998006968839782,0.2763228123060114
160,24.98471019605578,0.2577824382027357
161,24.993682034808945,0.25626474570640173
162,25.002311083610742,0.2981739538017686
163,24.99934549614442,0.2985829725934616
164,25.006017462183756,0.2645066743383826
165,24.997312927737056,0.29104803478425817
166,24.989759512971723,0.26649532945800253
167,25.00079792056285,0.26290331697580305
